a	art. 一（个）；每一（个）
impression	n. 印象； 印记
impressive	adj. 给人印象深刻的
imprison	v. 关押，监禁；限制
improper	adj. 不合适的，不适当的
improve	v. 变得更好； 改善； 提高
improvement	n. 改进， 改善； 改进处
in	prep. 在…里；进，入
inadequacy	n. 不足
inadequate	adj. 不足的，不够的
inappropriate	adj. 不合适的
incentive	n. 动机，刺激
inch	n. 英寸
incidence	n. 几率，发生率
incident	n. 发生的事， 事件
incline	v. 倾斜； 弯； 倾向于 n. 斜坡
include	vt. 包括， 包含
income	n. 收入；收益；进款
incomparable	adj. 无比的，无可匹敌的
incorrect	adj. 不正确的，错误的
increase	v. 增加 n. 增加
increasingly	adv. 日益， 越来越多地
incredible	adj. 不能相信的， 不可信的； 难以置信的， 不可思议的； 惊人的
indeed	adv. 确实；真正地
indefinite	adj. 不明确的；不定的
independence	n. 独立， 自主， 自立
independent	adj. 独立的， 自主的； 无偏见的； 不相关联的
independently	adv. 独立地
index	n. 索引； 指数， 指标
India	n. 印度
Indian	adj. 印度的 n. 印度人
indicate	vt. 标示， 表示， 表明
indication	n. 指示， 表示， 表明； 象征， 迹象
indifferent	adj. 冷漠的， 不积极的； 一般的， 平平的
indignant	adj. 愤慨的，义愤的
indirect	adj. 间接的；不坦率的
indispensable	adj. 必不可少的， 必需的
individual	adj. 个别的；独特的 n. 个人， 个体
indoor	adv. 在室内， 在户内 adj. 室内的
indoors	adv. 在室内，在屋里
induce	v. 引诱
industrial	adj. 工业的， 产业的
industrialize	v. 使工业化
industry	n. 工业，产业；勤劳
inefficient	adj. 效率低的，无能的
inevitable	adj. 不可避免的， 必然的
inexpensive	adj. 花费不多的，廉价的
infant	adj. 婴儿的； 幼稚的 n. 婴儿
infect	vt. 传染， 感染； 影响
infer	vt. 推论， 推断； 猜想
inference	n. 推断结果， 结论； 推论， 推理， 推断
inferior	adj. 下等的，劣等的；次于…的 n. 下级， 下属
infinite	adj. 无限的； 无穷的
inflate	v. (使)膨胀
inflation	n. 通货膨胀； 膨胀
influence	n. 影响，作用；影响力，势力；产生影响力的人 vt. 影响
influential	adj. 有影响的； 有权势的
inform	vi. 告发， 告密 vt. 通知；报告
information	n. 消息，信息；通知
ingredient	n. 组成部分， 成分； 原料； 要素， 因素
inhabit	v. 居住于，栖息于
inhabitant	n. 居民， 住户
inherit	vi. 成为继承人 vt. 继承
initial	adj. 最初的，开始的 n. 首字母
initially	adv. 最初，起初
initiate	v. 开始，发起
initiative	n. 主动性； 首创精神； 主动的行动， 倡议； 主动权
injection	n. 注射， 注入； 充满
injure	vt. 伤害， 损害， 使遭受损伤
injury	n. 损害， 伤害； 受伤处
ink	n. 墨水，油墨
inn	n. 小旅店， 小酒店
inner	adj. 内部的； 内心的
innocent	adj. 清白的； 幼稚的； 没有恶意的
innovate	v. 创新，革新
innovation	n. 改革，创新
innovative	adj. 创新的， 革新的
input	n. 输入；投入的资金；输入的数据 vt. 把…输入计算机
inquire	v. 打听， 询问； 调查
inquiry	n. 询问， 打听； 调查
insect	n. 昆虫， 虫
insecure	adj. 不安全的
insert	vt. 插入， 嵌入； 登载
inside	prep. 在…里面 n. 内部
insight	n. 洞察力； 洞悉； 深刻见解
insist	v. 坚持， 坚决认为； 坚持要求
inspect	vi. 进行检查； 进行视察 vt. 检查，审查；检阅
inspection	n. 检阅；检查，审查
inspector	n. 检查员
inspiration	n. 灵感
inspire	vi. 吸气； 赋予灵感 vt. 鼓舞，给…以灵感
install	vt. 安装， 设置； 使就职， 任命
installation	n. 安装； 装置， 设施； 就任， 就职
installment	n. 分期付款
instance	n. 例子， 实例， 事例
instant	adj. 立即的； 紧急的； 可以速食的 n. 瞬间
instantly	adv. 立即，即刻
instead	adv. 作为替代； 却， 反而
instinct	n. 本能， 天性； 直觉
institute	v. 建立 n. 〔从事科研或教育等的〕机构；学院；研究院
institution	n. 社会公共机构；制度；设立，制定
instruct	vt. 指示， 命令； 通知； 教授， 训练
instruction	n. 命令， 指示； 用法说明； 教学， 教导
instrument	n. 仪器， 工具； 乐器
insufficient	adj. 不足的；不适当的
insult	vt. 侮辱， 凌辱 n. 侮辱， 凌辱
insurance	n. 保险， 保险费
insure	vt. 为…投保； 确保
intake	n. 摄入
integrate	v. 成为一体， 合并
integration	n. 综合
integrity	n. 完整
intellectual	n. 知识分子 adj. 智力的
intelligence	n. 智力； 理解力； 情报
intelligent	adj. 有智慧的，聪明的，悟性强的
intend	vt. 想要， 打算； 意思是； 打算使
intense	adj. 强烈的； 紧张的； 认真的； 热情的
intensity	n. 强烈，剧烈；〔光、声等的〕强度
intensive	adj. 加强的； 精深的， 透彻的； 精耕细作的
intention	n. 意图， 意向， 目的
intentional	adj. 故意的，有意识的
interaction	n. 相互作用， 干扰
interconnect	v. 相互联系
interdependence	n. 相互依靠
interest	n. 兴趣；利益，利害关系；利息 vt. 使感兴趣
interesting	adj. 有趣的，引人入胜的
interfere	vi. 干涉， 干预， 妨碍
interference	n. 干涉， 干预， 阻碍
interior	adj. 内的；内地的内部 n. 内部
intermediate	adj. 中间的； 中级的
internal	adj. 内的； 国内的； 内心的
international	adj. 国际的，世界（性）的
internship	n. 实习生身份； 实习医师期
interpret	v. 解释， 说明； 口译
interpretation	n. 解释； 口译； 艺术处理
interpreter	n. 译员，口译者
interracial	adj. 种族间的
interrupt	v. 打断， 打扰， 中断
interruption	n. 障碍物；中断，打断
interval	n. 间隔， 间距； 幕间休息
intervene	vi. 干涉， 调停， 干预； 插入， 介入； 干扰， 打扰
intervention	n. 干涉
interview	n&vt. 接见， 会见； 面谈， 面试； 采访
intimate	adj. 亲密的；个人的 n. 至交， 密友 vt. 暗示， 提示
into	prep. 进，入；进入到
introduce	v. 介绍；引进；传入
introduction	n. 介绍， 引进； 引言
invade	vt. 入侵， 侵略， 侵袭
invalid	adj. 无效的
invariably	adv. 不变地，一直
invasion	n. 入侵， 侵略， 侵犯
invent	vt. 发明， 创造； 捏造
invention	n. 发明，创造；捏造， 假话
inventor	n. 发明者；发明家
invest	v. 投资， 投入； 授予
investigate	v. 调查， 研究
investigation	n. 调查，调查研究
investment	n. 投资， 投资额； 投入
invincible	adj. 不能征服的， 无敌的
invisible	adj. 看不见的， 无形的
invitation	n. 邀请， 招待； 请柬； 吸引， 诱惑
invite	v. 邀请；（正式）邀请，请求
involve	vt. 使卷入， 牵涉； 包含， 含有
involvement	n. 连累； 包含
inward	adv. 向内 adj. 里面的；内心的
iron	n. 铁 v. 烫（衣）
irrationally	adv. 不合理地，无理性地
irregular	adj. 不规则的；不整齐的
irritate	v. 激怒
island	n. 岛，岛屿
isolate	vt. 使隔离， 使孤立
issue	v. 发行， 分发， 发出 n. 问题；发行，分发
it	pron. 这，那，它
Italian	adj. 意大利的 n. 意大利人
item	n. 〔尤指清单上、一群或一组事物中的〕一项，一件，一条
its	det.. 它的
itself	pron. 它自己；自身
jacket	n. 短上衣，茄克衫
jail	n. 监狱，看守所 vt. 监禁， 拘留； 塞满； 卡住； 干扰
jam	n. 果酱
January	n. 一月
Japan	n. 日本，日本国
Japanese	adj. 日本的 n. 日本人
jar	v. 感到不快； 震动， 摇动 n. 罐子，坛子，广口瓶
jaw	n. 颌， 颚
jazz	n. 爵士音乐， 爵士舞曲
jealous	adj. 妒忌的， 猜疑的； 精心守护的
jeans	n. 工装裤， 牛仔裤
jet	vi. 乘喷气式飞机 n. 喷气式飞机；喷嘴；喷射
jewel	n. 宝石； 宝石饰物
jewish	adj. 犹太人的
job	n. 职业；工作；零活
join	v. 参加；连接
joint	adj. 连接的； 共同的 n. 接头，接缝；关节
joke	n. 笑话 v. 说笑话
jolly	adj. 快活的；令人高兴的
journal	n. 日报， 杂志， 日志
journalist	n. 新闻工作者， 新闻记者
journey	vi. 旅行 n. 旅行，旅程
joy	n. 欢乐，喜悦；乐事
joyful	adj. 十分喜悦的，快乐的
judge	n. 法官；裁判员
judgement	n. 意见； 审判； 判断
juice	n. （水果等）汁，液
July	n. 七月
jump	v. 跳；暴涨
June	n. 六月
jungle	n. 丛林， 密林， 莽丛； 乱七八糟的一堆
junior	adj. 年少的；资历较浅的 n. 晚辈； 三年级学生
jury	n. 陪审团； 评奖团
just	adv. 正好；只是；刚才
justice	n. 正义， 公正； 司法
justify	vt. 证明…是正当的
keen	adj. 热心的； 激烈的； 敏锐的， 敏捷的
keenly	adv. 敏锐地
keep	v. 保持；坚持
keeper	n. 饲养员；看护人
kettle	n. 水壶；锅
key	n. 钥匙；键；答案
keyboard	n. 键盘
kick	v. 踢 n. 踢
kid	v. 戏弄， 开玩笑 n. 小孩；年轻人
kill	v. 杀死；扼杀；消磨
kilogram	n. 千克，公斤
kilometre	n. 千米，公里
kind	n. 种类
kindergarten	n. 幼儿园
kindness	n. 仁慈， 好意
king	n. 国王，君主
kingdom	n. 王国； 领域； 界
kiss	v. 吻 n. 吻
kitchen	n. 厨房，灶间
kite	n. 风筝
knee	n. 膝，膝盖，膝关节
kneel	vi. 跪， 跪下， 跪着
knife	n. 小刀，刀，餐刀
knit	v. 把…编结
knob	n. 门把，拉手；旋纽
knock	v. 敲，击，打 n. 敲，击，打
knot	vi. 打结 n. 结；节疤；节 vt. 把…打成结
know	v. 知道；认识；通晓
knowledge	n. 知识，学识；知道
lab	n. 实验室，研究室
label	n. 标签；标记，符号 vt. 贴标签于； 把…称为
laboratory	n. 实验室， 研究室
laborious	adj. 费力的
labour	n. 劳动；工作；劳工
lace	n. 鞋带，系带；花边
lack	n. 缺乏，不足 v. 缺乏，不足
lad	n. 男孩， 小伙子
ladder	n. 梯子，梯状物
lady	n. 女士，夫人；贵妇人
lag	vi. 走得慢 n. 落后
lake	n. 湖
lamb	n. 羔羊， 小羊； 羔羊肉
lame	adj. 跛的；瘸的，残废的
lamp	n. 灯
land	n. 土地；陆地 v. 上岸
landing	n. 上岸，登陆，着陆
landlady	n. 女房东；女地主
landlord	n. 地主， 房东； 店主
landscape	n. 风景，景色；风景画；全景 vt. 美化…的景观
lane	n. 小路； 跑道； 航道， 航线
language	n. 语言；语言课程
lantern	n. 提灯，灯笼
lap	v. 舔； 拍打 n. 膝部；一圈，一段
large	adj. 大的；巨大的
largely	adv. 大部分， 大量地
laser	n. 激光
last	adj. 最后的 adv. 最后
late	adj. 迟的 adv. 迟，晚
lately	adv. 最近，不久前
later	adv. 后来；过一会儿
Latin	adj. 拉丁的 n. 拉丁语
latter	adj. 后者的； 后一半的
laugh	v. 笑，发笑 n. 笑
laughter	n. 笑， 笑声
launch	vt. 发射，投射，发动；使下水 n. 发射； 下水
laundry	n. 洗衣房， 洗衣店； 待洗的衣服， 洗好的衣服
lavatory	n. 盥洗室， 厕所
law	n. 法律；法令；法则
lawn	n. 草地， 草坪， 草场
lawyer	n. 律师；法学家
lay	v. 置放；铺设；设置
layer	n. 层， 层次
layout	n. 布局， 安排， 设计
lazy	adj. 懒惰的，懒散的
lead	n. 铅，铅制品
leader	n. 领袖， 领导人， 首领
leadership	n. 领导
leading	adj. 指导的， 带头的； 最主要的； 饰演主角的
leaf	n. 叶，叶子
league	n. 联合会；同盟，联盟
leak	v. 漏；泄露 n. 漏洞
lean	v. 倾斜；屈身；靠 adj. 瘦的； 贫瘠的
leap	v. 跳，跃 n. 跳跃； 骤变
learn	v. 学，学习
learned	adj. 有学问的； 学术上的
learning	n. 学习； 学问， 知识
lease	n. 租约，租契 vt. 出租； 租得， 租有
least	det,pron. 最少的 adv. 最少
leather	n. 皮革， 皮革制品
leave	v. 离去
lecture	n. 演讲，讲课 v. 演讲，讲课
left	adj. 左边的
leg	n. 腿，腿部
legal	adj. 法律的； 合法的
legend	n. 传说，传奇
legislation	n. 法律， 法规； 立法， 法律的制定
leisure	n. 空闲时间； 悠闲
lemon	n. 柠檬； 柠檬树； 柠檬黄， 淡黄色
lend	v. 把…借给；贷（款）
length	n. 长，长度；一段
lengthy	adj. 长的，漫长的
lens	n. 透镜， 镜片， 镜头
less	adj. 更少的 adv. 更少地
lessen	v. 减少，减轻；缩小
lesson	n. 功课，课；课程
lest	conj. 唯恐， 以免
let	v. 允许，让；使
letter	n. 信；字母
level	n. 水平面 adj. 水平的
lever	n. 控制杆；杆，杠杆
liability	n. 责任
liable	adj. 易于…的； 可能的
liar	n. 说谎的人
liberal	adj. 心胸宽大的， 慷慨的； 自由的， 自由主义的
liberate	vt. 解放， 释放
liberation	n. 解放
liberty	n. 自由； 许可， 准许； 过于随便， 放肆
librarian	n. 图书馆管理员
library	n. 图书馆；藏书
license	n. 许可，执照 vt. 准许
lick	vt. 舔，舔吃；打败，克服；轻拍，吞卷 n. 舔； 少量， 少许
lid	n. 盖子，盖，囊盖
lie	v. 躺；平放；位于
lieutenant	n. 陆军中尉；副职官员
life	n. 生命；一生；寿命
lifetime	n. 一生，终身
lift	v. 提起，提高 n. 电梯
light	adj. 轻的；少量的
lighten	v. 照亮，使明亮
lightly	adv. 轻轻地，轻松地
lightning	n. 闪电，闪电放电
like	v. 喜欢；喜爱；希望
likely	adv. 可能 adj. 可能的；适合的
likewise	adv. 同样地； 也， 又
limb	n. 肢， 臂， 腿； 树枝
lime	n. 石灰
limit	n. 限度；限制；范围
limitation	n. 限制， 限度； 局限
limited	adj. 有限的
limp	adj. 软的；不强壮的 v. 〔因一腿受伤而〕跛行，一瘸一拐地走 n. 跛行
line	n. 线；线条；排；路线
linen	n. 亚麻布；亚麻织物
liner	n. 班船，班机
link	v. 连接，联系 n. 环节， 联系， 纽带
lion	n. 狮子；勇猛的人
lip	n. 嘴唇
liquid	adj. 液体的； 清澈的； 流畅的 n. 液体
liquor	n. 酒， 烈性酒
list	n. 表，目录 v. 列举
listen	v. 听，留神听；听从
listener	n. 听众之一；听者
liter	n. 升（容量单位）
literary	adj. 文学的； 文人的， 书卷气的
literature	n. 文学， 文学作品； 文献， 图书资料
little	adj. 小的；少；幼小的
live	v. 居住；活 adj. 活的
lively	adj. 活泼的
liver	n. 肝；肝脏
living	adj. 活的 n. 生活，生计
load	v. 装；装满 n. 负载
loaf	vi. 游荡， 闲逛 n. 面包
loan	n. 贷款；暂借 v. 借出
lobby	v. 向进行游说 n. 大厅；休息室；院外活动集团
local	adj. 地方性的； 本地的； 局部的； 狭隘的
locate	vt. 探明， 找出； 把…设置在， 使…坐落于
location	n. 位置， 场所； 外景拍摄地
lock	n. 锁 v. 锁上，锁住
locomotive	n. 火车头，机车
lodge	v. 暂住，借宿 n. 乡间小屋； 旅舍
log	n. 原木，木料；航海日志 vt. 正式记录
logic	n. 逻辑， 推理， 逻辑学
logical	adj. 逻辑的， 合乎常理的
logically	adv. 合乎情理地，符合逻辑地
lonely	adj. 孤独的；荒凉的
long	v. 渴望，极想念
look	v. 看，显得 n. 看
loop	v. 成环， 成圈 n. 圈，环，回路；循环
loose	adj. 松的； 不精确的， 不严密的； 散漫的
loosen	vt. 解开； 放松， 松弛
lord	n. 领主， 君主， 贵族
lorry	n. 运货汽车， 卡车
lose	v. 失去；迷失；输掉
loss	n. 遗失；损失；失败
lot	pron.. 许多，大量 n. 抽签，抓阄
loud	adj. 响亮的；吵闹的
loudspeaker	n. 扬声器，喇叭
love	v. 爱，喜欢 n. 爱
lovely	adj. 可爱的；令人愉快的
lover	n. 情人；情侣；爱好者
low	adj. 低的；矮的；低下的
lower	adj. 较低的；下面的 vt. 放下， 降低
loyal	adj. 忠诚的， 忠心的
loyalty	n. 忠诚， 忠心
luck	n. 好运，幸运；运气
lucky	adj. 幸运的， 侥幸的； 吉利的
luggage	n. 行李；皮箱，皮包
lumber	n. 木材；木料；制材
lump	v. 结块； 将…归并在一起 n. 块，肿块
lunch	n. 午餐，（美）便餐
lung	n. 肺脏，肺
luxury	n. 奢侈，奢华；奢侈品
machine	n. 机器；机械
machinery	n. 机器， 机械
mad	adj. 发疯的；恼火的
madam	n. 夫人，女士，太太
magazine	n. 杂志，期刊
magic	adj. 有魔力的； 魔术的 n. 魔法，魅力
magnet	n. 磁铁， 磁体； 有吸引力的人或事物
magnetic	adj. 磁的； 有吸引力的
magnificent	n. 宏伟的， 壮丽的； 华丽的； 极好的
maid	n. 女佣，女仆；少女
mail	n. 邮件 v. 邮寄
main	adj. 主要的，最重要的
mainframe	n. 主机， 大型机
mainland	n. 大陆
mainly	adv. 主要地，大体上
mainstream	n. 主流
maintain	vt. 维持； 维修， 保养； 主张； 赡养
maintenance	n. 维持； 保养； 抚养费
major	adj. 较大的；主要的；重大的 n. 少校； 专业
majority	n. 多数， 大多数
make	v. 做，制造；使
makeup	n. 化妆品
male	adj. 男的，雄的 n. 男子， 雄性动物
malfunction	n. 失灵，故障
man	n. 男人；人；人类
manage	v. 管理；设法；成功应付，对付
management	n. 管理； 处理； 管理部门； 管理人员
manager	n. 经理，管理人
mankind	n. 人类
manly	adj. 男子气概的，果断的
manner	n. 方式； 态度； 风度； 礼貌， 规矩
manual	adj. 用手的；手工做的 n. 手册， 指南
manufacture	vt. 制造，加工 n. 制造， 制造业
manufacturer	n. 制造商； 制造厂
many	det.. 许多的 pron. 许多人
map	n. 地图；图；天体图
marble	n. 大理石
March	n. 三月
margin	n. 页边空白； 差数， 差额； 余地； 边缘
marginalize	v. 边缘化，排斥
marine	adj. 海的， 海生的； 海事的， 海军的， 海运的 n. 海军陆战队士兵
mark	n. 斑点；记号 v. 标明
market	n. 市场； 股市； 行情， 销路
marriage	n. 结婚， 婚姻； 婚礼
married	adj. 已婚的； 婚姻的
marry	v. 娶， 嫁； 为…证婚； 结婚， 结合
marvellous	adj. 奇迹般的；了不起的
marvelous	adj. 奇迹般的， 了不起的
Marxism	n. 马克思主义
Marxist	adj. 马克思主义的 n. 马克思主义者
masculine	adj. 男性的
mask	n. 面具，面罩，口罩；伪装 vt. 遮盖， 掩饰
mass	adj. 大量的，大规模的 v. 聚集， 集中 n. 众多，大量；团，块，堆；群众；质量
massive	adj. 大的， 大而重的； 大块的； 大量的， 大规模的
master	n. 能手；主人；硕士
masterpiece	n. 杰作，名著
mat	n. 席子；草席；垫子
match	n. 比赛，竞赛；对手
mate	v. 成为配偶， 交配 n. 伙伴，同事；配偶，配对物；大副
material	adj. 物质的， 实体的； 肉体的； 重要的， 实质性的 n. 材料，素材
materialism	n. 唯物主义
mathematical	adj. 数学的，数学上的
mathematics	n. 数学
maths	n. （英）数学
matter	n. 事情；物质 v. 要紧
mature	adj. 成熟的；成年人的；深思熟虑的；到期的，应支付的 vt. 使成熟
maximum	adj. 最大的， 最高的， 顶点的 n. 最大量，顶点
may	modal verb. 可能；可以；祝
maybe	adv. 大概，或许；也许
mayor	n. 市长
me	pron. （宾格）我
meadow	n. 草地，牧草地
meal	n. 膳食，一餐
mean	v. 作…解释；意指
meaning	n. 意义， 意思； 目的； 重要性
means	n. 方法， 手段， 工具； 金钱， 财产
meantime	n. 其时，其间 adv. 当时
meanwhile	adv. 同时，当时
measurable	adj. 可测量的
measure	vt. 测量，度量；衡量 n. 分量； 尺寸； 量具； 计量单位； 量度， 测量； 措施， 办法
measurement	n. 衡量， 测量； 尺寸， 大小
meat	n. 肉
mechanic	n. 技工， 机修工； 力学， 机械学； 过程， 方法， 技术性细节
mechanical	adj. 机械的， 机械制造的； 机械学的， 力学的； 呆板的
mechanically	adv. 机械地
mechanics	n. 力学
mechanism	n. 机械装置； 机制， 机理； 办法， 途径
medal	n. 奖牌， 奖章， 勋章
media	n. 新闻媒介， 传播媒介
medical	adj. 医学的；内科的
medication	n. 药物治疗； 药物
medicine	n. 内服药；医学
Mediterranean	n. 地中海 adj. 地中海的
medium	adj. 中等的 n. 媒体；媒介物，传导体
meet	v. 遇见
meeting	n. 聚集，会合；会见
melon	n. 瓜，甜瓜
melt	v. 融化； 熔化； 消散
member	n. 成员，会员
membership	n. 会员身份， 会籍； 全体会员， 会员数
memorial	adj. 纪念的，悼念的 n. 纪念碑， 纪念堂， 纪念仪式
memorize	v. 熟记，牢记
memory	n. 记忆；回忆；存储
mend	v. 修补，缝补；修理
mental	adj. 心理的， 精神的， 思想上的； 精神病的； 智力的
mention	v. 提及，说起 n. 提及，说起
menu	n. 菜单
merchant	n. 商人；零售商
mercury	n. 水银，汞
mercy	n. 仁慈， 宽容； 恩惠； 幸运
mere	adj. 仅仅的； 纯粹的
merely	adv. 仅仅， 只不过
merit	n. 长处，优点，价值；功劳，成绩 vt. 值得， 应受
merry	adj. 欢乐的， 愉快的
mess	n. 凌乱状态，混乱的局面；困境 vt. 弄糟， 弄脏， 搞乱
message	n. 信息，消息；启示，要旨，寓意
messenger	n. 送信者，信使
metal	n. 金属，金属制品
meter	n. 计量器；计，表
method	n. 方法，办法；教学法
metre	n. 米，公尺
metric	adj. 公制的， 米制的
microcomputer	n. 微型计算机，微机
microphone	n. 扩音器， 话筒， 麦克风
microscope	n. 显微镜
midday	n. 正午，中午
middle	n. 中部 adj. 中部的
midnight	n. 午夜，子夜，夜半
midst	n. 中部，中间，当中
might	v. 可能，会，也许
migration	n. 迁移，移民
mild	adj. 温柔的； 温暖的； 轻微的
mile	n. 英里
military	adj. 军事的，军用的 n. 军队， 武装力量
milk	n. 乳，牛奶 v. 挤（奶）
mill	v. 磨， 碾 n. 磨坊；碾磨机；制造厂，工厂
millimetre	n. 毫米
million	num. 百万 n. 许多
mind	n. 头脑；理智；记忆
mine	pron. 我的
miner	n. 矿工
mineral	n. 矿物 adj. 矿物的
minimize	vt. 将…减少； 最小化
minimum	adj. 最低的， 最小的 n. 最低限度；最小量
minister	n. 部长， 大臣； 公使， 外交使节； 牧师
ministry	n. （政府的）部
minor	vi. 辅修 adj. 较小的，较少的；次要的 n. 未成年人；辅修科目
minority	n. 少数； 少数民族
minus	adj. 负面的；使显得有缺陷的 prep. 减（去）
minute	n. 分，分钟；一会儿
miracle	n. 奇迹， 令人惊奇的人
mirror	n. 镜子 v. 与〔另一事物〕相似；反映
miscalculation	n. 算错，误算
misconception	n. 误解
miserable	adj. 痛苦的； 悲惨的； 令人难受的
misguide	v. 误导
misguided	adj. 被误导的
mislead	vt. 给…错误印象， 使误解； 把…带错路； 使误入歧途
miss	n. 小姐
missile	n. 导弹， 飞弹， 投射物
missing	adj. 缺掉的， 失踪的
mission	n. 使命， 任务； 使团
mist	v. 蒙上薄雾； 模糊 n. 薄雾
mistake	n. 错误 v. 误解，弄错
Mister	n. 先生
mistress	n. 女主；夫人
misunderstand	v. 误解，误会，曲解
mix	v. 使混合，混淆
mixture	n. 混合， 混合物
moan	n. 呻吟声 v. 呻吟
mobile	adj. 运动的； 流动的； 多变的
mode	n. 方式；样式
model	n. 模型；模特儿
moderate	adj. 中等的； 温和的， 稳健的； 有节制的 v. 和缓， 减轻； 节制
modern	adj. 现代的，近代的
modernization	n. 现代化
modest	adj. 谦虚的；不太大的；不很贵的
modify	vt. 更改， 修改； 修饰
moist	adj. 湿润的， 潮湿的
moisture	n. 潮湿， 湿气
mold	n. 霉，霉菌；模型，铸模；性格 vt. 用模子制作， 塑造； 使形成， 影响…的形成
molecule	n. 分子，克分子
moment	n. 时刻；片刻，瞬间
Monday	n. 星期一
money	n. 货币；金钱；财富
monitor	n. 班长；监视器，检测器；显示器 vt. 监听； 检测
monkey	n. 猴子，猿
month	n. 月，月份
monthly	adj. 每月的 adv. 每月
monument	n. 纪念碑， 纪念馆； 历史遗迹
mood	n. 心情， 情绪； 语气
moon	n. 月球，月亮；卫星
moral	adj. 道德的，有道德的 n. 品行； 道德规范； 寓意
more	adj. 更多的 adv. 更
moreover	adv. 而且， 再者， 此外
morning	n. 早晨，上午
mortal	adj. 终有一死的；致死的
mosquito	n. 蚊子
most	det,pron. 最多的 adv. 最，很
mostly	adv. 主要的，大部分
mother	n. 母亲，妈妈
motion	v. 打手势， 示意 n. 运动；手势，眼色，动作；提议
motivate	vt. 作为…的动机； 激励， 激发
motivation	n. 激励，刺激
motive	n. 动机， 目的
motor	n. 发动机， 电动车
mould	n. 霉，霉菌；模型，铸模；性格，气质 vt. 用模子做， 浇铸； 使形成， 把…铸造成
mount	v. 登上；发起；安放；增加，加剧 n. 山， 峰
mountain	n. 山，山岳；山脉
mourn	v. 哀痛，哀悼
mouse	n. 鼠，耗子
mouth	n. 嘴，口，口腔
mouthful	n. 满口，一口
move	v. 移动；感动 n. 动
movement	n. 动作，活动；移动
movie	n. 电影；电影院
much	adv. 非常，很 det. 许多的
mud	n. 软泥，泥浆
muddy	adj. 多泥的，泥泞的
mug	n. 大杯 vt. 对…行凶抢劫
multicultural	adj. 融合多种文化的
multiple	adj. 复合的，多重的，多样的 n. 倍数
multiply	vt. 增加， 繁殖； 乘
murder	n. 谋杀，凶杀；谋杀罪 v. 谋杀；杀害
murderer	n. 杀人犯，凶手
muscle	n. 肌肉， 体力； 力量， 实力
museum	n. 博物馆；展览馆
mushroom	vi. 迅速成长 n. 蘑菇
music	n. 音乐，乐曲；乐谱
musical	adj. 音乐的
musician	n. 音乐家；作曲家
must	v. 必须；必然要
mute	adj. 缄默的 n. 哑巴
mutter	v. 轻声低语；抱怨
mutton	n. 羊肉
mutual	adj. 相互的； 共同的
mutually	adv. 互相地
my	det. 我的
myself	pron. 我自己；我亲自
mysterious	adj. 神秘的；难以理解的
mystery	n. 神秘；神秘的事物
myth	n. 杜撰出来的人； 神话
nail	n. 钉；指甲 v. 钉
naked	adj. 裸体的； 无遮蔽的
name	n. 名字；名誉 v. 说出
namely	adv. 即， 也就是
nap	n. 小睡，打盹，瞌睡
narrow	adj. 狭的，狭窄的
nasty	adj. 龌龊的；淫猥的
nation	n. 国家；民族
national	adj. 民族的；国家的
nationality	n. 国籍；民族，族
native	adj. 本土的 n. 本地人
natural	adj. 自然界的；天然的
naturally	adv. 当然； 天然地； 天生地
nature	n. 大自然； 本性； 性质
naughty	adj. 顽皮的，淘气的
naval	adj. 海军的，军舰的
navigation	n. 航行， 航海， 航空； 导航， 领航
navy	n. 海军
near	adv. 近，接近 adj. 近的
nearby	adj. 附近的 adv. 在附近
nearly	adv. 差不多
neat	adj. 整洁的
necessarily	adv. 必要地； 必然
necessary	adj. 必要的；必然的
necessity	n. 必需品； 必要性， 需要
neck	n. 颈，脖子
necklace	n. 项链，项圈
need	v. 需要
needle	n. 针；编织针
needless	adj. 不需要的
needy	adj. 贫穷的
negative	adj. 否定的，消极的；负的；阴性的 n. 负片， 底片； 负数
neglect	v. 疏于照料；疏忽 n. 疏忽
negotiate	v. 洽谈， 协商； 顺利通过， 成功越过； 协商， 谈判
Negro	n. 黑人
neighborhood	n. 地区
neighbour	n. 邻居，邻人；邻国
neighbourhood	n. 附近地区（的居民）；邻近
neither	adj. （两者）都不的
nephew	n. 侄子， 外甥
nerve	n. 神经； 勇敢， 胆量
nervous	adj. 神经的；易激动的
nest	v. 筑巢 n. 巢，窝，穴
net	n. 网，网状物；互联网
network	n. 网状物； 广播网， 电视网； 网络
neutral	adj. 中立的； 中性的
never	adv. 永不，决不；不
nevertheless	conj. 然而 adv. 仍然
new	adj. 新的；新近出现的
newly	adv. 新近，最近
news	n. 新闻；消息
newspaper	n. 报纸，报
newsstand	n. 报摊， 杂志摊
next	adj. 紧接的；贴近的
nice	adj. 美好的，令人愉快的
niece	n. 侄女， 外甥女
night	n. 夜，夜间
nightmare	n. 噩梦； 可怕的事物， 无法摆脱的恐惧
nine	num. 九，九个
nineteen	num. 十九，十九个
ninety	num. 九十，九十个
ninth	num. 第九 n. 九分之一
nitrogen	n. 氮
no	adv. 不；并不 adj. 没有
noble	adj. 贵族的；高尚的
nobody	pron. 谁也不；无人
nod	v. 点（头）；点头表示
noise	n. 喧闹声；响声；噪声
noisy	adj. 喧闹的；嘈杂的
none	pron. 没有人；没有一点 adv. 毫不
nonsense	n. 胡说， 废话； 冒失的行动
noon	n. 正午，中午
nor	conj. 既不…也不…；也不
